param nb_d:=1471;
param h := 7;
947 7 26 4
948 8 26 5
949 9 26 4
950 10 26 5
951 11 26 7
952 12 26 8
953 13 26 10
954 14 26 4
955 15 26 8
956 16 26 9
957 17 26 7
958 18 26 6
959 19 26 5
960 20 26 11
961 21 26 2
962 22 26 3
963 23 26 6
964 24 26 8
965 25 26 10
966 26 27 8
967 26 28 10
968 26 29 11
969 26 30 8
970 26 31 5
971 26 32 4
972 26 33 10
973 26 34 4
974 26 35 7
975 26 36 4
976 26 37 9
977 26 38 10
978 26 39 12
979 1 27 7
980 2 27 5
981 3 27 4
982 4 27 3
983 5 27 6
984 6 27 9
985 7 27 3
986 8 27 5
987 9 27 4
988 10 27 5
989 11 27 5
990 12 27 7
991 13 27 8
992 14 27 4
993 15 27 6
994 16 27 6
995 17 27 7
996 18 27 5
997 19 27 5
998 20 27 8
999 21 27 2
1000 22 27 3
1001 23 27 4
1002 24 27 7
1003 25 27 8
1004 26 27 8
1005 27 28 9
1006 27 29 8
1007 27 30 5
1008 27 31 4
1009 27 32 5
1010 27 33 7
1011 27 34 3
1012 27 35 6
1013 27 36 4
1014 27 37 6
1015 27 38 8
1016 27 39 8
1017 1 28 9
1018 2 28 7
1019 3 28 3
1020 4 28 3
1021 5 28 9
1022 6 28 11
1023 7 28 4
1024 8 28 5
1025 9 28 4
1026 10 28 5
1027 11 28 6
1028 12 28 9
1029 13 28 10
1030 14 28 5
1031 15 28 7
1032 16 28 8
1033 17 28 7
1034 18 28 6
1035 19 28 6
1036 20 28 12
1037 21 28 2
1038 22 28 3
1039 23 28 6
1040 24 28 8
1041 25 28 8
1042 26 28 10
1043 27 28 8
1044 28 29 11
1045 28 30 8
1046 28 31 6
1047 28 32 5
1048 28 33 9
1049 28 34 4
1050 28 35 6
1051 28 36 5
1052 28 37 9
1053 28 38 9
1054 28 39 10
1055 1 29 9
1056 2 29 7
1057 3 29 4
1058 4 29 3
1059 5 29 8
1060 6 29 11
1061 7 29 4
1062 8 29 5
1063 9 29 5
1064 10 29 6
1065 11 29 7
1066 12 29 8
1067 13 29 10
1068 14 29 5
1069 15 29 7
1070 16 29 9
1071 17 29 7
1072 18 29 6
1073 19 29 5
1074 20 29 12
1075 21 29 3
1076 22 29 2
1077 23 29 7
1078 24 29 8
1079 25 29 8
1080 26 29 12
1081 27 29 9
1082 28 29 10
1083 29 30 8
1084 29 31 6
1085 29 32 5
1086 29 33 10
1087 29 34 4
1088 29 35 6
1089 29 36 5
1090 29 37 8
1091 29 38 10
1092 29 39 11
1093 1 30 7
1094 2 30 5
1095 3 30 4
1096 4 30 2
1097 5 30 6
1098 6 30 8
1099 7 30 4
1100 8 30 5
1101 9 30 4
1102 10 30 3
1103 11 30 4
1104 12 30 6
1105 13 30 6
1106 14 30 4
1107 15 30 5
1108 16 30 5
1109 17 30 6
1110 18 30 4
1111 19 30 3
1112 20 30 8
1113 21 30 2
1114 22 30 2
1115 23 30 5
1116 24 30 6
1117 25 30 5
1118 26 30 8
1119 27 30 5
1120 28 30 8
1121 29 30 7
1122 30 31 5
1123 30 32 4
1124 30 33 7
1125 30 34 3
1126 30 35 5
1127 30 36 3
1128 30 37 6
1129 30 38 6
1130 30 39 7
1131 1 31 5
1132 2 31 5
1133 3 31 3
1134 4 31 2
1135 5 31 5
1136 6 31 6
1137 7 31 2
1138 8 31 4
1139 9 31 3
1140 10 31 3
1141 11 31 3
1142 12 31 4
1143 13 31 6
1144 14 31 4
1145 15 31 4
1146 16 31 5
1147 17 31 5
1148 18 31 3
1149 19 31 4
1150 20 31 6
1151 21 31 2
1152 22 31 3
1153 23 31 4
1154 24 31 5
1155 25 31 5
1156 26 31 6
1157 27 31 4
1158 28 31 6
1159 29 31 6
1160 30 31 4
1161 31 32 4
1162 31 33 5
1163 31 34 2
1164 31 35 3
1165 31 36 4
1166 31 37 4
1167 31 38 5
1168 31 39 5
1169 1 32 4
1170 2 32 3
1171 3 32 2
1172 4 32 2
1173 5 32 5
1174 6 32 4
1175 7 32 2
1176 8 32 3
1177 9 32 3
1178 10 32 4
1179 11 32 4
1180 12 32 4
1181 13 32 4
1182 14 32 3
1183 15 32 4
1184 16 32 5
1185 17 32 3
1186 18 32 3
1187 19 32 4
1188 20 32 5
1189 21 32 2
1190 22 32 2
1191 23 32 4
1192 24 32 4
1193 25 32 5
1194 26 32 4
1195 27 32 4
1196 28 32 4
1197 29 32 4
1198 30 32 3
1199 31 32 3
1200 32 33 5
1201 32 34 3
1202 32 35 4
1203 32 36 3
1204 32 37 5
1205 32 38 5
1206 32 39 5
1207 1 33 9
1208 2 33 6
1209 3 33 4
1210 4 33 2
1211 5 33 8
1212 6 33 11
1213 7 33 4
1214 8 33 6
1215 9 33 5
1216 10 33 4
1217 11 33 6
1218 12 33 7
1219 13 33 9
1220 14 33 4
1221 15 33 8
1222 16 33 8
1223 17 33 8
1224 18 33 5
1225 19 33 6
1226 20 33 10
1227 21 33 3
1228 22 33 2
1229 23 33 6
1230 24 33 7
1231 25 33 9
1232 26 33 10
1233 28 33 10
1234 29 33 11
1235 30 33 6
1236 31 33 5
1237 32 33 5
1238 33 34 4
1239 33 35 7
1240 33 36 4
1241 33 37 7
1242 33 38 8
1243 33 39 10
1244 1 34 3
1245 2 34 4
1246 3 34 3
1247 4 34 2
1248 5 34 4
1249 6 34 5
1250 7 34 3
1251 8 34 3
1252 9 34 3
1253 10 34 2
1254 11 34 4
1255 12 34 3
1256 13 34 3
1257 14 34 3
1258 15 34 4
1259 16 34 3
1260 17 34 3
1261 18 34 4
1262 19 34 2
1263 20 34 5
1264 21 34 2
1265 22 34 3
1266 23 34 3
1267 24 34 4
1268 25 34 4
1269 26 34 5
1270 27 34 3
1271 28 34 4
1272 29 34 4
1273 30 34 3
1274 31 34 2
1275 32 34 2
1276 33 34 3
1277 34 35 4
1278 34 36 2
1279 34 37 4
1280 34 38 4
1281 34 39 4
1282 1 35 5
1283 2 35 4
1284 3 35 3
1285 4 35 2
1286 5 35 5
1287 6 35 7
1288 7 35 4
1289 8 35 3
1290 9 35 4
1291 10 35 3
1292 11 35 4
1293 12 35 5
1294 13 35 5
1295 14 35 4
1296 15 35 4
1297 16 35 5
1298 17 35 4
1299 18 35 5
1300 19 35 4
1301 20 35 6
1302 21 35 3
1303 22 35 2
1304 23 35 5
1305 24 35 6
1306 25 35 5
1307 26 35 7
1308 27 35 5
1309 28 35 7
1310 29 35 6
1311 30 35 4
1312 31 35 3
1313 32 35 4
1314 33 35 6
1315 34 35 4
1316 35 36 4
1317 35 37 6
1318 35 38 5
1319 35 39 7
1320 1 36 4
1321 2 36 3
1322 3 36 3
1323 4 36 2
1324 5 36 5
1325 6 36 4
1326 7 36 3
1327 8 36 4
1328 9 36 2
1329 10 36 3
1330 11 36 3
1331 12 36 4
1332 13 36 4
1333 14 36 2
1334 15 36 3
1335 16 36 5
1336 17 36 4
1337 18 36 4
1338 19 36 3
1339 20 36 5
1340 21 36 3
1341 22 36 3
1342 23 36 3
1343 24 36 4
1344 25 36 5
1345 26 36 5
1346 27 36 4
1347 28 36 4
1348 29 36 5
1349 30 36 4
1350 31 36 3
1351 32 36 3
1352 33 36 4
1353 34 36 2
1354 35 36 3
1355 36 37 5
1356 36 38 4
1357 36 39 5
1358 1 37 7
1359 2 37 5
1360 3 37 3
1361 4 37 3
1362 5 37 6
1363 6 37 8
1364 7 37 4
1365 8 37 5
1366 9 37 3
1367 10 37 5
1368 11 37 4
1369 12 37 7
1370 13 37 7
1371 14 37 4
1372 15 37 7
1373 16 37 6
1374 17 37 6
1375 18 37 5
1376 19 37 4
1377 20 37 9
1378 21 37 2
1379 22 37 3
1380 23 37 5
1381 24 37 7
1382 25 37 6
1383 26 37 9
1384 27 37 7
1385 28 37 8
1386 29 37 9
1387 30 37 6
1388 31 37 4
1389 32 37 4
1390 33 37 8
1391 34 37 3
1392 35 37 6
1393 36 37 4
1394 37 38 7
1395 37 39 8
1396 1 38 8
1397 2 38 6
1398 3 38 3
1399 4 38 3
1400 5 38 8
1401 6 38 9
1402 7 38 4
1403 8 38 4
1404 9 38 4
1405 10 38 4
1406 11 38 5
1407 12 38 8
1408 13 38 9
1409 14 38 5
1410 15 38 6
1411 16 38 8
1412 17 38 6
1413 18 38 6
1414 19 38 5
1415 20 38 10
1416 21 38 2
1417 22 38 2
1418 23 38 6
1419 24 38 6
1420 25 38 7
1421 26 38 9
1422 27 38 8
1423 28 38 9
1424 29 38 9
1425 30 38 7
1426 31 38 5
1427 32 38 5
1428 33 38 9
1429 34 38 4
1430 35 38 6
1431 36 38 5
1432 37 38 7
1433 38 39 9
1434 1 39 10
1435 2 39 8
1436 3 39 3
1437 4 39 2
1438 5 39 9
1439 6 39 11
1440 7 39 4
1441 8 39 6
1442 9 39 5
1443 10 39 6
1444 11 39 6
1445 12 39 9
1446 13 39 10
1447 14 39 5
1448 15 39 8
1449 16 39 8
1450 17 39 7
1451 18 39 6
1452 19 39 5
1453 20 39 12
1454 21 39 3
1455 22 39 3
1456 23 39 7
1457 24 39 9
1458 25 39 9
1459 26 39 12
1460 27 39 9
1461 28 39 10
1462 29 39 11
1463 30 39 7
1464 31 39 5
1465 32 39 4
1466 33 39 10
1467 34 39 4
1468 35 39 6
1469 36 39 5
1470 37 39 9
1471 38 39 10
;

