param nb_d:=780;
param h := 10;
430 14 15 118
431 14 16 138
432 14 17 131
433 14 18 194
434 14 19 164
435 14 20 134
436 14 21 195
437 14 22 123
438 14 23 130
439 14 24 125
440 14 25 184
441 14 26 143
442 14 27 115
443 14 28 168
444 14 29 142
445 14 30 197
446 14 31 184
447 14 32 100
448 14 33 175
449 14 34 103
450 14 35 154
451 14 36 129
452 14 37 166
453 14 38 200
454 14 39 136
455 14 40 127
456 15 16 187
457 15 17 159
458 15 18 120
459 15 19 130
460 15 20 129
461 15 21 141
462 15 22 197
463 15 23 143
464 15 24 102
465 15 25 101
466 15 26 143
467 15 27 183
468 15 28 146
469 15 29 158
470 15 30 182
471 15 31 194
472 15 32 148
473 15 33 190
474 15 34 148
475 15 35 114
476 15 36 136
477 15 37 128
478 15 38 134
479 15 39 102
480 15 40 172
481 16 17 113
482 16 18 108
483 16 19 135
484 16 20 134
485 16 21 140
486 16 22 183
487 16 23 188
488 16 24 131
489 16 25 199
490 16 26 132
491 16 27 152
492 16 28 191
493 16 29 161
494 16 30 160
495 16 31 151
496 16 32 106
497 16 33 190
498 16 34 107
499 16 35 115
500 16 36 121
501 16 37 196
502 16 38 169
503 16 39 120
504 16 40 102
505 17 18 134
506 17 19 166
507 17 20 134
508 17 21 176
509 17 22 160
510 17 23 191
511 17 24 149
512 17 25 109
513 17 26 124
514 17 27 111
515 17 28 159
516 17 29 113
517 17 30 142
518 17 31 105
519 17 32 194
520 17 33 136
521 17 34 166
522 17 35 151
523 17 36 113
524 17 37 163
525 17 38 189
526 17 39 174
527 17 40 170
528 18 19 179
529 18 20 118
530 18 21 165
531 18 22 120
532 18 23 136
533 18 24 145
534 18 25 151
535 18 26 151
536 18 27 114
537 18 28 164
538 18 29 154
539 18 30 133
540 18 31 139
541 18 32 108
542 18 33 197
543 18 34 101
544 18 35 157
545 18 36 113
546 18 37 194
547 18 38 124
548 18 39 142
549 18 40 186
550 19 20 149
551 19 21 146
552 19 22 169
553 19 23 198
554 19 24 182
555 19 25 175
556 19 26 167
557 19 27 161
558 19 28 185
559 19 29 139
560 19 30 107
561 19 31 114
562 19 32 144
563 19 33 194
564 19 34 117
565 19 35 138
566 19 36 162
567 19 37 123
568 19 38 158
569 19 39 171
570 19 40 134
571 20 21 125
572 20 22 151
573 20 23 113
574 20 24 181
575 20 25 198
576 20 26 127
577 20 27 132
578 20 28 171
579 20 29 181
580 20 30 133
581 20 31 173
582 20 32 131
583 20 33 184
584 20 34 125
585 20 35 165
586 20 36 103
587 20 37 142
588 20 38 134
589 20 39 152
590 20 40 114
591 21 22 134
592 21 23 112
593 21 24 182
594 21 25 100
595 21 26 186
596 21 27 172
597 21 28 143
598 21 29 196
599 21 30 111
600 21 31 130
601 21 32 133
602 21 33 119
603 21 34 127
604 21 35 174
605 21 36 152
606 21 37 187
607 21 38 127
608 21 39 132
609 21 40 156
610 22 23 138
611 22 24 165
612 22 25 136
613 22 26 129
614 22 27 120
615 22 28 108
616 22 29 197
617 22 30 156
618 22 31 115
619 22 32 117
620 22 33 104
621 22 34 182
622 22 35 106
623 22 36 159
624 22 37 141
625 22 38 195
626 22 39 191
627 22 40 119
628 23 24 161
629 23 25 122
630 23 26 119
631 23 27 181
632 23 28 154
633 23 29 107
634 23 30 197
635 23 31 125
636 23 32 101
637 23 33 162
638 23 34 198
639 23 35 190
640 23 36 175
641 23 37 145
642 23 38 141
643 23 39 167
644 23 40 191
645 24 25 192
646 24 26 195
647 24 27 114
648 24 28 119
649 24 29 192
650 24 30 145
651 24 31 152
652 24 32 181
653 24 33 105
654 24 34 139
655 24 35 190
656 24 36 147
657 24 37 181
658 24 38 109
659 24 39 152
660 24 40 198
661 25 26 172
662 25 27 131
663 25 28 198
664 25 29 150
665 25 30 150
666 25 31 150
667 25 32 178
668 25 33 177
669 25 34 166
670 25 35 187
671 25 36 133
672 25 37 154
673 25 38 180
674 25 39 126
675 25 40 196
676 26 27 125
677 26 28 175
678 26 29 141
679 26 30 124
680 26 31 112
681 26 32 155
682 26 33 178
683 26 34 193
684 26 35 161
685 26 36 114
686 26 37 104
687 26 38 178
688 26 39 149
689 26 40 186
690 27 28 140
691 27 29 117
692 27 30 119
693 27 31 193
694 27 32 168
695 27 33 150
696 27 34 165
697 27 35 167
698 27 36 135
699 27 37 196
700 27 38 102
701 27 39 136
702 27 40 175
703 28 29 172
704 28 30 131
705 28 31 184
706 28 32 137
707 28 33 148
708 28 34 164
709 28 35 131
710 28 36 129
711 28 37 136
712 28 38 180
713 28 39 120
714 28 40 153
715 29 30 188
716 29 31 134
717 29 32 181
718 29 33 136
719 29 34 167
720 29 35 146
721 29 36 161
722 29 37 134
723 29 38 143
724 29 39 112
725 29 40 149
726 30 31 135
727 30 32 155
728 30 33 171
729 30 34 134
730 30 35 136
731 30 36 120
732 30 37 109
733 30 38 197
734 30 39 139
735 30 40 108
736 31 32 192
737 31 33 175
738 31 34 115
739 31 35 178
740 31 36 137
741 31 37 118
742 31 38 197
743 31 39 111
744 31 40 117
745 32 33 164
746 32 34 162
747 32 35 140
748 32 36 150
749 32 37 190
750 32 38 170
751 32 39 169
752 32 40 142
753 33 34 134
754 33 35 159
755 33 36 175
756 33 37 114
757 33 38 156
758 33 39 151
759 33 40 142
760 34 35 149
761 34 36 109
762 34 37 138
763 34 38 153
764 34 39 196
765 34 40 162
766 35 36 129
767 35 37 146
768 35 38 128
769 35 39 109
770 35 40 124
771 36 37 130
772 36 38 199
773 36 39 122
774 36 40 139
775 37 38 163
776 37 39 119
777 37 40 103
778 38 39 101
779 38 40 134
780 39 40 113
;

