param nb_d:=1332;
param h:= 10;
301 9 14 348
302 9 15 329
303 9 16 63
304 9 17 1119
305 9 18 91
306 9 19 392
307 9 20 189
308 9 21 174
309 9 22 183
310 9 23 426
311 9 24 437
312 9 25 62
313 9 26 344
314 9 27 176
315 9 28 254
316 9 29 419
317 9 30 160
318 9 31 140
319 9 32 124
320 9 33 219
321 9 34 292
322 9 35 753
323 9 36 129
324 9 37 138
325 1 10 229
326 2 10 64
327 3 10 138
328 4 10 37
329 5 10 398
330 6 10 390
331 7 10 117
332 8 10 117
333 9 10 86
334 10 11 38
335 10 12 297
336 10 13 286
337 10 14 384
338 10 15 447
339 10 16 64
340 10 17 411
341 10 18 75
342 10 19 398
343 10 20 129
344 10 21 128
345 10 22 119
346 10 23 248
347 10 24 257
348 10 25 84
349 10 26 194
350 10 27 141
351 10 28 144
352 10 29 217
353 10 30 119
354 10 31 55
355 10 32 155
356 10 33 155
357 10 34 95
358 10 35 452
359 10 36 39
360 10 37 98
361 1 11 136
362 2 11 36
363 3 11 98
364 4 11 19
365 5 11 136
366 6 11 439
367 7 11 92
368 8 11 76
369 9 11 40
370 10 11 38
371 11 12 161
372 11 13 148
373 11 14 440
374 11 15 149
375 11 16 29
376 11 17 174
377 11 18 58
378 11 19 358
379 11 20 86
380 11 21 99
381 11 22 79
382 11 23 147
383 11 24 133
384 11 25 35
385 11 26 118
386 11 27 106
387 11 28 62
388 11 29 128
389 11 30 90
390 11 31 29
391 11 32 61
392 11 33 88
393 11 34 46
394 11 35 174
395 11 36 20
396 11 37 57
397 1 12 1640
398 2 12 242
399 3 12 624
400 4 12 143
401 5 12 1259
402 6 12 1796
403 7 12 555
404 8 12 980
405 9 12 319
406 10 12 297
407 11 12 161
408 12 13 2146
409 12 14 1530
410 12 15 1510
411 12 16 190
412 12 17 1377
413 12 18 313
414 12 19 1997
415 12 20 667
416 12 21 558
417 12 22 557
418 12 23 1212
419 12 24 1244
420 12 25 224
421 12 26 796
422 12 27 841
423 12 28 565
424 12 29 926
425 12 30 499
426 12 31 203
427 12 32 407
428 12 33 1005
429 12 34 372
430 12 35 1342
431 12 36 158
432 12 37 515
433 1 13 1112
434 2 13 254
435 3 13 640
436 4 13 157
437 5 13 1336
438 6 13 1617
439 7 13 551
440 8 13 691
441 9 13 354
442 10 13 286
443 11 13 148
444 12 13 2146
445 13 14 1421
446 13 15 1389
447 13 16 189
448 13 17 1493
449 13 18 311
450 13 19 1759
451 13 20 707
452 13 21 559
453 13 22 589
454 13 23 1389
455 13 24 1602
456 13 25 215
457 13 26 839
458 13 27 775
459 13 28 664
460 13 29 1002
461 13 30 500
462 13 31 216
463 13 32 401
464 13 33 1377
465 13 34 420
466 13 35 1414
467 13 36 180
468 13 37 629
469 1 14 1361
470 2 14 333
471 3 14 857
472 4 14 165
473 5 14 1360
474 6 14 3628
475 7 14 762
476 8 14 692
477 9 14 348
478 10 14 384
479 11 14 440
480 12 14 1530
481 13 14 1421
482 14 15 1491
483 14 16 321
484 14 17 1599
485 14 18 539
486 14 19 3210
487 14 20 752
488 14 21 849
489 14 22 696
490 14 23 1336
491 14 24 1294
492 14 25 390
493 14 26 1116
494 14 27 884
495 14 28 579
496 14 29 1196
497 14 30 790
498 14 31 247
499 14 32 684
500 14 33 791
501 14 34 467
502 14 35 1619
503 14 36 167
504 14 37 568
505 1 15 1103
506 2 15 240
507 3 15 553
508 4 15 143
509 5 15 1773
510 6 15 1595
511 7 15 473
512 8 15 543
513 9 15 329
514 10 15 447
515 11 15 149
516 12 15 1510
517 13 15 1389
518 14 15 1491
519 15 16 210
520 15 17 1513
521 15 18 293
522 15 19 1667
523 15 20 539
524 15 21 506
525 15 22 481
526 15 23 1035
527 15 24 1107
528 15 25 259
529 15 26 755
530 15 27 609
531 15 28 603
532 15 29 861
533 15 30 462
534 15 31 204
535 15 32 469
536 15 33 700
537 15 34 378
538 15 35 1551
539 15 36 153
540 15 37 419
541 1 16 156
542 2 16 55
543 3 16 110
544 4 16 30
545 5 16 215
546 6 16 317
547 7 16 90
548 8 16 79
549 9 16 63
550 10 16 64
551 11 16 29
552 12 16 190
553 13 16 189
554 14 16 321
555 15 16 210
556 16 17 304
557 16 18 67
558 16 19 318
559 16 20 95
560 16 21 105
561 16 22 92
562 16 23 184
563 16 24 186
564 16 25 65
565 16 26 164
566 16 27 99
567 16 28 93
568 16 29 175
569 16 30 100
570 16 31 45
571 16 32 166
572 16 33 104
573 16 34 74
574 16 35 345
575 16 36 28
576 16 37 76
577 1 17 965
578 2 17 464
579 3 17 800
580 4 17 396
581 5 17 1878
582 6 17 1687
583 7 17 634
584 8 17 550
585 9 17 1119
586 10 17 411
587 11 17 174
588 12 17 1377
589 13 17 1493
590 14 17 1599
591 15 17 1513
592 16 17 304
593 17 18 386
594 17 19 1750
595 17 20 742
596 17 21 707
597 17 22 706
598 17 23 1587
599 17 24 1683
600 17 25 292
601 17 26 1273
602 17 27 724
603 17 28 1118
604 17 29 1484
605 17 30 652
606 17 31 473
607 17 32 605
608 17 33 879
609 17 34 919
610 17 35 4907
611 17 36 354
612 17 37 554
613 1 18 253
614 2 18 95
615 3 18 312
616 4 18 45
617 5 18 287
618 6 18 572
619 7 18 247
620 8 18 140
621 9 18 91
622 10 18 75
623 11 18 58
624 12 18 313
625 13 18 311
626 14 18 539
627 15 18 293
628 16 18 67
629 17 18 386
630 18 19 577
631 18 20 209
632 18 21 453
633 18 22 214
634 18 23 358
635 18 24 306
636 18 25 72
637 18 26 334
638 18 27 205
639 18 28 134
640 18 29 342
641 18 30 593
642 18 31 71
643 18 32 137
644 18 33 188
645 18 34 110
646 18 35 376
647 18 36 46
648 18 37 135
649 1 19 1815
650 2 19 358
651 3 19 1009
652 4 19 185
653 5 19 1501
654 6 19 5626
655 7 19 966
656 8 19 1064
657 9 19 392
658 10 19 398
659 11 19 358
660 12 19 1997
661 13 19 1759
662 14 19 3210
663 15 19 1667
664 16 19 318
665 17 19 1750
666 18 19 577
667 19 20 967
668 19 21 966
669 19 22 840
670 19 23 1612
671 19 24 1510
672 19 25 371
673 19 26 1231
674 19 27 1432
675 19 28 658
676 19 29 1355
677 19 30 866
678 19 31 271
679 19 32 676
680 19 33 1027
681 19 34 515
682 19 35 1732
683 19 36 193
684 19 37 677
685 1 20 468
686 2 20 156
687 3 20 587
688 4 20 92
689 5 20 531
690 6 20 885
691 7 20 515
692 8 20 309
693 9 20 189
694 10 20 129
695 11 20 86
696 12 20 667
697 13 20 707
698 14 20 752
699 15 20 539
700 16 20 95
701 17 20 742
702 18 20 209
703 19 20 967
704 20 21 432
705 20 22 681
706 20 23 1120
707 20 24 699
708 20 25 105
709 20 26 571
710 20 27 543
711 20 28 276
712 20 29 703
713 20 30 359
714 20 31 130
715 20 32 196
716 20 33 551
717 20 34 205
718 20 35 695
719 20 36 103
720 20 37 364
721 1 21 429
722 2 21 172
723 3 21 775
724 4 21 86
725 5 21 495
726 6 21 939
727 7 21 571
728 8 21 254
729 9 21 174
730 10 21 128
731 11 21 99
732 12 21 558
733 13 21 559
734 14 21 849
735 15 21 506
736 16 21 105
737 17 21 707
738 18 21 453
739 19 21 966
740 20 21 432
741 21 22 459
742 21 23 701
743 21 24 551
744 21 25 114
745 21 26 623
746 21 27 400
747 21 28 244
748 21 29 651
749 21 30 908
750 21 31 133
751 21 32 213
752 21 33 360
753 21 34 189
754 21 35 681
755 21 36 90
756 21 37 241
757 1 22 402
758 2 22 162
759 3 22 769
760 4 22 92
761 5 22 482
762 6 22 790
763 7 22 471
764 8 22 250
765 9 22 183
766 10 22 119
767 11 22 79
768 12 22 557
769 13 22 589
770 14 22 696
771 15 22 481
772 16 22 92
773 17 22 706
774 18 22 214
775 19 22 840
776 20 22 681
777 21 22 459
778 22 23 1033
779 22 24 620
780 22 25 99
781 22 26 641
782 22 27 403
783 22 28 253
784 22 29 794
785 22 30 379
786 22 31 132
787 22 32 186
788 22 33 420
789 22 34 195
790 22 35 658
791 22 36 101
792 22 37 290
793 1 23 830
794 2 23 323
795 3 23 918
796 4 23 213
797 5 23 1071
798 6 23 1506
799 7 23 695
800 8 23 519
801 9 23 426
802 10 23 248
803 11 23 147
804 12 23 1212
805 13 23 1389
806 14 23 1336
807 15 23 1035
808 16 23 184
809 17 23 1587
810 18 23 358
811 19 23 1612
812 20 23 1120
813 21 23 701
814 22 23 1033
815 23 24 1737
816 23 25 199
817 23 26 1199
818 23 27 769
819 23 28 603
820 23 29 1700
821 23 30 611
822 23 31 278
823 23 32 377
824 23 33 1074
825 23 34 467
826 23 35 1433
827 23 36 255
828 23 37 878
829 1 24 825
830 2 24 278
831 3 24 652
832 4 24 192
833 5 24 1221
834 6 24 1423
835 7 24 525
836 8 24 488
837 9 24 437
838 10 24 257
839 11 24 133
840 12 24 1244
841 13 24 1602
842 14 24 1294
843 15 24 1107
844 16 24 186
845 17 24 1683
846 18 24 306
847 19 24 1510
848 20 24 699
849 21 24 551
850 22 24 620
851 23 24 1737
852 24 25 200
853 24 26 927
854 24 27 637
855 24 28 792
856 24 29 1180
857 24 30 497
858 24 31 246
859 24 32 385
860 24 33 1042
861 24 34 549
862 24 35 1486
863 24 36 245
864 24 37 711
865 1 25 187
866 2 25 54
867 3 25 119
868 4 25 28
869 5 25 241
870 6 25 373
871 7 25 100
872 8 25 93
873 9 25 62
874 10 25 84
875 11 25 35
876 12 25 224
877 13 25 215
878 14 25 390
879 15 25 259
880 16 25 65
881 17 25 292
882 18 25 72
883 19 25 371
884 20 25 105
885 21 25 114
886 22 25 99
887 23 25 199
888 24 25 200
889 25 26 168
890 25 27 114
891 25 28 99
892 25 29 181
893 25 30 108
894 25 31 43
895 25 32 161
896 25 33 117
897 25 34 76
898 25 35 315
899 25 36 28
900 25 37 83
901 1 26 596
902 2 26 420
903 3 26 760
904 4 26 203
905 5 26 783
906 6 26 1192
907 7 26 508
908 8 26 341
909 9 26 344
910 10 26 194
911 11 26 118
912 12 26 796
913 13 26 839
914 14 26 1116
915 15 26 755
916 16 26 164
917 17 26 1273
918 18 26 334
919 19 26 1231
920 20 26 571
921 21 26 623
922 22 26 641
923 23 26 1199
924 24 26 927
925 25 26 168
926 26 27 489
927 26 28 411
928 26 29 1828
929 26 30 583
930 26 31 306
931 26 32 326
932 26 33 535
933 26 34 343
934 26 35 1168
935 26 36 189
936 26 37 375
937 1 27 622
938 2 27 144
939 3 27 454
940 4 27 82
941 5 27 560
942 6 27 1174
943 7 27 475
944 8 27 488
945 9 27 176
946 10 27 141
947 11 27 106
948 12 27 841
949 13 27 775
950 14 27 884
951 15 27 609
952 16 27 99
953 17 27 724
954 18 27 205
955 19 27 1432
956 20 27 543
957 21 27 400
958 22 27 403
959 23 27 769
960 24 27 637
961 25 27 114
962 26 27 489
963 27 28 273
964 27 29 569
965 27 30 339
966 27 31 119
967 27 32 206
968 27 33 540
969 27 34 193
970 27 35 698
971 27 36 91
972 27 37 298
973 1 28 378
974 2 28 135
975 3 28 279
976 4 28 98
977 5 28 826
978 6 28 626
979 7 28 226
980 8 28 215
981 9 28 254
982 10 28 144
983 11 28 62
984 12 28 565
985 13 28 664
986 14 28 579
987 15 28 603
988 16 28 93
989 17 28 1118
990 18 28 134
991 19 28 658
992 20 28 276
993 21 28 244
994 22 28 253
995 23 28 603
996 24 28 792
997 25 28 99
998 26 28 411
999 27 28 273
1000 28 29 497
1001 28 30 222
1002 28 31 126
1003 28 32 194
1004 28 33 369
1005 28 34 328
1006 28 35 953
1007 28 36 114
1008 28 37 228
1009 1 29 673
1010 2 29 387
1011 3 29 835
1012 4 29 246
1013 5 29 903
1014 6 29 1298
1015 7 29 570
1016 8 29 395
1017 9 29 419
1018 10 29 217
1019 11 29 128
1020 12 29 926
1021 13 29 1002
1022 14 29 1196
1023 15 29 861
1024 16 29 175
1025 17 29 1484
1026 18 29 342
1027 19 29 1355
1028 20 29 703
1029 21 29 651
1030 22 29 794
1031 23 29 1700
1032 24 29 1180
1033 25 29 181
1034 26 29 1828
1035 27 29 569
1036 28 29 497
1037 29 30 590
1038 29 31 324
1039 29 32 351
1040 29 33 664
1041 29 34 420
1042 29 35 1328
1043 29 36 258
1044 29 37 470
1045 1 30 388
1046 2 30 164
1047 3 30 583
1048 4 30 79
1049 5 30 455
1050 6 30 851
1051 7 30 424
1052 8 30 224
1053 9 30 160
1054 10 30 119
1055 11 30 90
1056 12 30 499
1057 13 30 500
1058 14 30 790
1059 15 30 462
1060 16 30 100
1061 17 30 652
1062 18 30 593
1063 19 30 866
1064 20 30 359
1065 21 30 908
1066 22 30 379
1067 23 30 611
1068 24 30 497
1069 25 30 108
1070 26 30 583
1071 27 30 339
1072 28 30 222
1073 29 30 590
1074 30 31 125
1075 30 32 202
1076 30 33 315
1077 30 34 174
1078 30 35 631
1079 30 36 82
1080 30 37 214
1081 1 31 142
1082 2 31 162
1083 3 31 153
1084 4 31 122
1085 5 31 222
1086 6 31 262
1087 7 31 114
1088 8 31 85
1089 9 31 140
1090 10 31 55
1091 11 31 29
1092 12 31 203
1093 13 31 216
1094 14 31 247
1095 15 31 204
1096 16 31 45
1097 17 31 473
1098 18 31 71
1099 19 31 271
1100 20 31 130
1101 21 31 133
1102 22 31 132
1103 23 31 278
1104 24 31 246
1105 25 31 43
1106 26 31 306
1107 27 31 119
1108 28 31 126
1109 29 31 324
1110 30 31 125
1111 31 32 84
1112 31 33 137
1113 31 34 107
1114 31 35 414
1115 31 36 64
1116 31 37 88
1117 1 32 336
1118 2 32 106
1119 3 32 223
1120 4 32 57
1121 5 32 469
1122 6 32 673
1123 7 32 184
1124 8 32 168
1125 9 32 124
1126 10 32 155
1127 11 32 61
1128 12 32 407
1129 13 32 401
1130 14 32 684
1131 15 32 469
1132 16 32 166
1133 17 32 605
1134 18 32 137
1135 19 32 676
1136 20 32 196
1137 21 32 213
1138 22 32 186
1139 23 32 377
1140 24 32 385
1141 25 32 161
1142 26 32 326
1143 27 32 206
1144 28 32 194
1145 29 32 351
1146 30 32 202
1147 31 32 84
1148 32 33 217
1149 32 34 150
1150 32 35 685
1151 32 36 55
1152 32 37 158
1153 1 33 594
1154 2 33 158
1155 3 33 431
1156 4 33 101
1157 5 33 689
1158 6 33 928
1159 7 33 374
1160 8 33 409
1161 9 33 219
1162 10 33 155
1163 11 33 88
1164 12 33 1005
1165 13 33 1377
1166 14 33 791
1167 15 33 700
1168 16 33 104
1169 17 33 879
1170 18 33 188
1171 19 33 1027
1172 20 33 551
1173 21 33 360
1174 22 33 420
1175 23 33 1074
1176 24 33 1042
1177 25 33 117
1178 26 33 535
1179 27 33 540
1180 28 33 369
1181 29 33 664
1182 30 33 315
1183 31 33 137
1184 32 33 217
1185 33 34 247
1186 33 35 818
1187 33 36 117
1188 33 37 599
1189 1 34 269
1190 2 34 112
1191 3 34 216
1192 4 34 99
1193 5 34 449
1194 6 34 496
1195 7 34 170
1196 8 34 149
1197 9 34 292
1198 10 34 95
1199 11 34 46
1200 12 34 372
1201 13 34 420
1202 14 34 467
1203 15 34 378
1204 16 34 74
1205 17 34 919
1206 18 34 110
1207 19 34 515
1208 20 34 205
1209 21 34 189
1210 22 34 195
1211 23 34 467
1212 24 34 549
1213 25 34 76
1214 26 34 343
1215 27 34 193
1216 28 34 328
1217 29 34 420
1218 30 34 174
1219 31 34 107
1220 32 34 150
1221 33 34 247
1222 34 35 679
1223 34 36 121
1224 34 37 170
1225 1 35 958
1226 2 35 427
1227 3 35 757
1228 4 35 310
1229 5 35 1908
1230 6 35 1682
1231 7 35 608
1232 8 35 537
1233 9 35 753
1234 10 35 452
1235 11 35 174
1236 12 35 1342
1237 13 35 1414
1238 14 35 1619
1239 15 35 1551
1240 16 35 345
1241 17 35 4907
1242 18 35 376
1243 19 35 1732
1244 20 35 695
1245 21 35 681
1246 22 35 658
1247 23 35 1433
1248 24 35 1486
1249 25 35 315
1250 26 35 1168
1251 27 35 698
1252 28 35 953
1253 29 35 1328
1254 30 35 631
1255 31 35 414
1256 32 35 685
1257 33 35 818
1258 34 35 679
1259 35 36 284
1260 35 37 511
1261 1 36 106
1262 2 36 62
1263 3 36 109
1264 4 36 64
1265 5 36 174
1266 6 36 183
1267 7 36 82
1268 8 36 65
1269 9 36 129
1270 10 36 39
1271 11 36 20
1272 12 36 158
1273 13 36 180
1274 14 36 167
1275 15 36 153
1276 16 36 28
1277 17 36 354
1278 18 36 46
1279 19 36 193
1280 20 36 103
1281 21 36 90
1282 22 36 101
1283 23 36 255
1284 24 36 245
1285 25 36 28
1286 26 36 189
1287 27 36 91
1288 28 36 114
1289 29 36 258
1290 30 36 82
1291 31 36 64
1292 32 36 55
1293 33 36 117
1294 34 36 121
1295 35 36 284
1296 36 37 77
1297 1 37 351
1298 2 37 107
1299 3 37 290
1300 4 37 64
1301 5 37 426
1302 6 37 634
1303 7 37 239
1304 8 37 215
1305 9 37 138
1306 10 37 98
1307 11 37 57
1308 12 37 515
1309 13 37 629
1310 14 37 568
1311 15 37 419
1312 16 37 76
1313 17 37 554
1314 18 37 135
1315 19 37 677
1316 20 37 364
1317 21 37 241
1318 22 37 290
1319 23 37 878
1320 24 37 711
1321 25 37 83
1322 26 37 375
1323 27 37 298
1324 28 37 228
1325 29 37 470
1326 30 37 214
1327 31 37 88
1328 32 37 158
1329 33 37 599
1330 34 37 170
1331 35 37 511
1332 36 37 77
;

